Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	4
Problem-ID	3
no_item_types	30
no_items	1154
CONTAINER_DATA (l,w,h)	485	131	118
ITEMS_DATA:
Type	x	y	z	no_items
1	109	93	72	43
2	115	72	64	22
3	102	69	65	49
4	98	65	62	43
5	92	78	53	42
6	118	66	47	34
7	91	83	48	42
8	89	78	50	46
9	107	60	49	41
10	91	58	57	50
11	113	80	29	30
12	75	58	58	43
13	86	71	41	37
14	94	66	39	36
15	100	81	27	38
16	73	65	46	31
17	95	67	32	32
18	70	67	42	43
19	119	45	36	48
20	62	59	52	37
21	60	59	46	36
22	84	81	23	40
23	112	48	28	29
24	75	54	35	35
25	54	52	50	31
26	99	56	25	43
27	64	53	32	38
28	77	49	25	30
29	51	42	28	54
30	49	32	30	31
