Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	9
Problem-ID	76
no_item_types	30
no_items	1871
CONTAINER_DATA (l,w,h)	432	79	1
ITEMS_DATA:
Type	x	y	z	no_items
1	37	37	1	53
2	36	36	1	41
3	57	22	1	71
4	44	25	1	67
5	34	30	1	76
6	36	28	1	61
7	35	27	1	55
8	42	22	1	80
9	47	18	1	76
10	32	25	1	45
11	57	14	1	75
12	42	19	1	58
13	30	26	1	61
14	39	20	1	59
15	29	26	1	65
16	52	14	1	61
17	31	23	1	58
18	37	19	1	60
19	43	16	1	73
20	38	18	1	64
21	28	23	1	60
22	26	22	1	63
23	29	15	1	71
24	31	14	1	55
25	26	16	1	61
26	39	10	1	56
27	22	17	1	52
28	22	13	1	60
29	16	15	1	63
30	16	10	1	71
