Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	10
Problem-ID	93
no_item_types	405
no_items	1357
CONTAINER_DATA (l,w,h)	432	79	1
ITEMS_DATA:
Type	x	y	z	no_items
1	59	47	1	5
2	60	44	1	3
3	56	46	1	2
4	51	50	1	3
5	54	46	1	2
6	54	45	1	5
7	59	40	1	4
8	51	46	1	3
9	50	46	1	4
10	51	44	1	3
11	49	45	1	1
12	56	39	1	4
13	53	41	1	5
14	47	46	1	3
15	49	44	1	3
16	59	35	1	4
17	49	42	1	3
18	57	36	1	2
19	55	37	1	5
20	50	40	1	1
21	54	37	1	2
22	57	35	1	3
23	60	33	1	2
24	47	42	1	2
25	49	40	1	4
26	56	35	1	6
27	54	36	1	5
28	44	44	1	5
29	46	42	1	4
30	48	40	1	4
31	54	35	1	4
32	46	41	1	5
33	47	40	1	1
34	52	36	1	4
35	48	39	1	2
36	50	37	1	5
37	43	43	1	2
38	45	41	1	1
39	46	40	1	5
40	54	34	1	5
41	47	39	1	5
42	54	33	1	2
43	49	36	1	3
44	43	41	1	5
45	58	30	1	3
46	47	37	1	4
47	56	31	1	3
48	51	34	1	3
49	48	36	1	4
50	42	41	1	2
51	52	33	1	5
52	44	39	1	4
53	52	33	1	2
54	49	35	1	2
55	50	34	1	4
56	42	40	1	3
57	48	35	1	2
58	43	39	1	3
59	46	36	1	3
60	55	30	1	5
61	51	32	1	2
62	44	37	1	2
63	46	35	1	6
64	51	31	1	4
65	49	32	1	6
66	54	29	1	5
67	46	34	1	4
68	47	33	1	2
69	48	32	1	4
70	49	31	1	2
71	41	37	1	5
72	56	27	1	3
73	43	35	1	2
74	53	28	1	3
75	40	37	1	5
76	41	36	1	4
77	46	32	1	3
78	49	30	1	4
79	39	37	1	6
80	40	36	1	3
81	53	27	1	3
82	51	28	1	3
83	49	29	1	4
84	59	24	1	4
85	44	32	1	2
86	38	37	1	2
87	50	28	1	2
88	40	35	1	3
89	58	24	1	2
90	42	33	1	4
91	60	23	1	4
92	39	35	1	4
93	44	31	1	3
94	59	23	1	3
95	45	30	1	1
96	43	31	1	2
97	37	36	1	4
98	51	26	1	4
99	49	27	1	2
100	40	33	1	3
101	57	23	1	6
102	50	26	1	4
103	59	22	1	2
104	36	36	1	3
105	37	35	1	4
106	43	30	1	5
107	44	29	1	4
108	51	25	1	4
109	49	26	1	3
110	53	24	1	1
111	41	31	1	2
112	43	29	1	6
113	46	27	1	2
114	44	28	1	2
115	35	35	1	1
116	38	32	1	5
117	39	31	1	3
118	43	28	1	3
119	50	24	1	4
120	48	25	1	4
121	40	30	1	1
122	46	26	1	3
123	35	34	1	2
124	44	27	1	6
125	36	33	1	8
126	59	20	1	1
127	45	26	1	4
128	40	29	1	4
129	34	34	1	4
130	35	33	1	5
131	50	23	1	7
132	37	31	1	3
133	44	26	1	4
134	38	30	1	5
135	47	24	1	2
136	45	25	1	4
137	56	20	1	3
138	35	32	1	4
139	43	26	1	3
140	36	31	1	6
141	48	23	1	4
142	38	29	1	7
143	44	25	1	3
144	35	31	1	3
145	54	20	1	4
146	45	24	1	4
147	36	30	1	3
148	49	22	1	4
149	43	25	1	3
150	37	29	1	6
151	46	23	1	4
152	34	31	1	4
153	39	27	1	2
154	35	30	1	2
155	42	25	1	4
156	58	18	1	3
157	37	28	1	5
158	33	31	1	1
159	35	29	1	1
160	36	28	1	4
161	48	21	1	5
162	36	28	1	3
163	40	25	1	3
164	32	31	1	3
165	33	30	1	2
166	38	26	1	3
167	49	20	1	2
168	37	26	1	6
169	33	29	1	1
170	38	25	1	7
171	50	19	1	2
172	45	21	1	5
173	35	27	1	7
174	39	24	1	1
175	49	19	1	4
176	58	16	1	2
177	32	29	1	5
178	37	25	1	3
179	33	28	1	7
180	34	27	1	2
181	54	17	1	5
182	35	26	1	4
183	41	22	1	7
184	31	29	1	3
185	56	16	1	3
186	32	28	1	4
187	37	24	1	4
188	34	26	1	5
189	49	18	1	2
190	44	20	1	4
191	35	25	1	2
192	38	23	1	4
193	30	29	1	4
194	51	17	1	2
195	36	24	1	3
196	54	16	1	3
197	48	18	1	8
198	43	20	1	3
199	39	22	1	4
200	33	26	1	2
201	42	20	1	2
202	30	28	1	4
203	35	24	1	2
204	42	20	1	1
205	31	27	1	3
206	38	22	1	2
207	49	17	1	6
208	32	26	1	3
209	36	23	1	5
210	33	25	1	2
211	39	21	1	3
212	43	19	1	4
213	29	28	1	1
214	54	15	1	5
215	31	26	1	4
216	35	23	1	3
217	38	21	1	4
218	57	14	1	4
219	53	15	1	8
220	44	18	1	6
221	33	24	1	2
222	49	16	1	7
223	46	17	1	5
224	39	20	1	3
225	37	21	1	1
226	31	25	1	4
227	48	16	1	1
228	38	20	1	4
229	33	23	1	3
230	28	27	1	4
231	36	21	1	3
232	29	26	1	1
233	47	16	1	3
234	30	25	1	2
235	37	20	1	5
236	41	18	1	4
237	49	15	1	4
238	35	21	1	4
239	49	15	1	4
240	43	17	1	3
241	27	27	1	3
242	38	19	1	3
243	48	15	1	2
244	30	24	1	2
245	48	15	1	1
246	30	24	1	5
247	40	18	1	2
248	34	21	1	4
249	42	17	1	5
250	37	19	1	3
251	27	26	1	4
252	39	18	1	4
253	35	20	1	3
254	41	17	1	3
255	33	21	1	2
256	30	23	1	3
257	46	15	1	2
258	49	14	1	2
259	38	18	1	2
260	34	20	1	3
261	27	25	1	4
262	48	14	1	8
263	32	21	1	1
264	28	24	1	3
265	51	13	1	3
266	44	15	1	5
267	33	20	1	2
268	60	11	1	1
269	33	20	1	1
270	26	25	1	4
271	27	24	1	2
272	46	14	1	4
273	28	23	1	2
274	45	14	1	3
275	37	17	1	2
276	33	19	1	8
277	39	16	1	2
278	27	23	1	3
279	28	22	1	2
280	41	15	1	1
281	34	18	1	3
282	29	21	1	4
283	40	15	1	4
284	30	20	1	2
285	33	18	1	5
286	37	16	1	4
287	31	19	1	4
288	45	13	1	1
289	36	16	1	4
290	32	18	1	3
291	25	23	1	3
292	26	22	1	2
293	27	21	1	4
294	47	12	1	5
295	33	17	1	3
296	28	20	1	5
297	40	14	1	3
298	35	16	1	4
299	28	20	1	4
300	31	18	1	1
301	37	15	1	2
302	29	19	1	2
303	25	22	1	3
304	26	21	1	4
305	34	16	1	1
306	32	17	1	4
307	33	16	1	6
308	31	17	1	4
309	25	21	1	2
310	26	20	1	4
311	43	12	1	2
312	27	19	1	1
313	39	13	1	5
314	28	18	1	1
315	36	14	1	2
316	25	20	1	5
317	33	15	1	1
318	29	17	1	1
319	35	14	1	5
320	27	18	1	5
321	23	21	1	3
322	48	10	1	2
323	32	15	1	4
324	30	16	1	3
325	40	12	1	4
326	34	14	1	2
327	25	19	1	2
328	26	18	1	4
329	39	12	1	1
330	31	15	1	3
331	29	16	1	1
332	38	12	1	3
333	35	13	1	2
334	30	15	1	4
335	45	10	1	2
336	28	16	1	3
337	34	13	1	1
338	21	21	1	4
339	22	20	1	5
340	44	10	1	4
341	23	19	1	3
342	27	16	1	6
343	43	10	1	4
344	25	17	1	6
345	28	15	1	4
346	21	20	1	4
347	38	11	1	5
348	22	19	1	2
349	26	16	1	3
350	32	13	1	2
351	23	18	1	2
352	37	11	1	2
353	29	14	1	2
354	27	15	1	4
355	31	13	1	4
356	20	20	1	3
357	21	19	1	4
358	23	17	1	1
359	26	15	1	4
360	30	13	1	3
361	26	15	1	2
362	30	13	1	4
363	32	12	1	3
364	24	16	1	2
365	25	15	1	5
366	31	12	1	3
367	28	13	1	2
368	19	19	1	2
369	20	18	1	7
370	24	15	1	5
371	22	16	1	4
372	27	13	1	4
373	25	14	1	4
374	31	11	1	7
375	34	10	1	2
376	26	13	1	1
377	24	14	1	2
378	28	12	1	2
379	22	15	1	3
380	23	14	1	3
381	21	15	1	3
382	18	17	1	3
383	19	16	1	3
384	25	12	1	5
385	19	15	1	2
386	20	14	1	4
387	21	13	1	3
388	19	14	1	4
389	24	11	1	4
390	22	12	1	3
391	24	11	1	3
392	16	16	1	1
393	17	15	1	2
394	18	14	1	3
395	21	12	1	4
396	20	12	1	3
397	18	13	1	3
398	15	15	1	3
399	20	11	1	1
400	21	10	1	3
401	19	11	1	2
402	16	13	1	2
403	15	13	1	4
404	14	13	1	3
405	14	11	1	4
