Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	1
Problem-ID	131
no_item_types	90
no_items	1214
CONTAINER_DATA (l,w,h)	587	233	220
ITEMS_DATA:
Type	x	y	z	no_items
1	120	99	73	14
2	120	95	62	21
3	107	84	78	9
4	118	77	76	22
5	95	82	76	10
6	90	84	72	9
7	104	74	65	13
8	115	90	48	17
9	93	77	67	16
10	95	80	63	17
11	81	80	70	7
12	96	95	49	18
13	91	71	69	12
14	114	68	53	18
15	92	81	55	12
16	97	67	62	10
17	119	94	36	7
18	107	64	57	16
19	111	70	48	14
20	86	83	51	15
21	97	73	49	14
22	94	81	44	16
23	91	67	54	9
24	102	82	39	13
25	98	72	46	12
26	110	67	44	11
27	97	68	49	10
28	112	69	40	13
29	83	73	50	13
30	98	60	51	7
31	83	77	46	14
32	104	78	34	17
33	112	78	31	16
34	70	63	61	9
35	112	51	44	14
36	108	76	30	12
37	78	64	49	14
38	119	73	28	8
39	90	76	35	14
40	72	68	47	15
41	79	65	43	13
42	85	84	30	9
43	109	45	43	13
44	113	51	36	9
45	81	58	42	10
46	95	66	31	13
47	71	57	47	11
48	87	83	26	13
49	88	68	30	12
50	83	63	32	12
51	93	42	41	15
52	65	50	48	11
53	80	65	29	16
54	63	62	38	16
55	119	46	27	9
56	76	74	26	17
57	70	52	39	15
58	60	55	41	16
59	60	59	38	11
60	57	56	42	15
61	79	56	30	14
62	97	44	31	15
63	107	49	25	15
64	113	56	20	16
65	74	56	30	18
66	96	38	33	7
67	66	53	34	16
68	110	43	25	21
69	81	66	22	17
70	78	38	37	9
71	60	56	32	10
72	61	44	39	18
73	76	38	36	9
74	64	60	26	15
75	69	48	30	10
76	81	34	34	10
77	120	30	26	12
78	93	31	31	17
79	60	40	33	10
80	52	41	36	17
81	81	33	28	8
82	95	27	26	15
83	56	35	33	14
84	61	34	31	13
85	118	25	21	20
86	41	39	38	24
87	71	32	25	15
88	40	34	32	16
89	36	34	25	14
90	33	25	23	15
