Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	10
Problem-ID	32
no_item_types	97
no_items	1322
CONTAINER_DATA (l,w,h)	432	79	1
ITEMS_DATA:
Type	x	y	z	no_items
1	59	39	1	15
2	48	45	1	13
3	56	38	1	6
4	53	40	1	13
5	46	44	1	12
6	50	39	1	14
7	54	36	1	11
8	44	44	1	13
9	47	40	1	15
10	52	36	1	12
11	48	38	1	8
12	45	40	1	12
13	57	30	1	18
14	45	37	1	23
15	59	28	1	14
16	54	30	1	13
17	52	31	1	15
18	49	32	1	11
19	41	38	1	16
20	50	30	1	12
21	54	26	1	18
22	41	34	1	11
23	49	28	1	14
24	40	34	1	15
25	45	30	1	10
26	37	36	1	14
27	38	35	1	11
28	40	32	1	10
29	36	35	1	11
30	44	28	1	20
31	36	34	1	18
32	37	33	1	18
33	45	27	1	15
34	39	30	1	11
35	48	24	1	17
36	60	19	1	14
37	54	21	1	16
38	35	32	1	8
39	37	30	1	19
40	50	22	1	11
41	55	20	1	14
42	52	21	1	16
43	49	22	1	14
44	35	30	1	8
45	42	25	1	10
46	37	28	1	18
47	32	31	1	6
48	37	26	1	12
49	48	20	1	13
50	40	24	1	10
51	38	25	1	14
52	41	23	1	9
53	36	26	1	16
54	34	27	1	5
55	49	18	1	12
56	39	21	1	13
57	31	26	1	19
58	49	16	1	7
59	29	27	1	8
60	39	20	1	17
61	52	15	1	14
62	35	21	1	12
63	43	17	1	9
64	36	20	1	20
65	45	16	1	13
66	31	23	1	20
67	39	18	1	20
68	28	25	1	14
69	38	18	1	14
70	35	19	1	13
71	30	22	1	12
72	47	14	1	12
73	36	18	1	11
74	29	21	1	11
75	33	18	1	16
76	28	21	1	14
77	45	13	1	13
78	29	20	1	11
79	32	18	1	20
80	36	16	1	16
81	44	13	1	9
82	27	21	1	22
83	28	20	1	11
84	31	17	1	10
85	27	18	1	14
86	43	11	1	9
87	26	18	1	12
88	24	17	1	13
89	20	20	1	13
90	20	19	1	22
91	22	17	1	22
92	24	15	1	20
93	27	10	1	14
94	21	11	1	14
95	15	14	1	13
96	18	10	1	19
97	15	11	1	12
