Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	4
Problem-ID	107
no_item_types	599
no_items	1238
CONTAINER_DATA (l,w,h)	485	131	118
ITEMS_DATA:
Type	x	y	z	no_items
1	120	98	74	3
2	120	99	72	1
3	117	93	76	1
4	115	98	63	1
5	118	98	57	2
6	111	79	73	2
7	102	100	62	2
8	99	91	70	3
9	103	100	60	1
10	117	88	60	2
11	96	81	78	4
12	104	92	63	3
13	108	84	66	1
14	88	85	80	2
15	94	86	74	4
16	95	85	74	2
17	114	77	67	1
18	104	86	65	1
19	100	92	63	2
20	110	82	64	2
21	113	75	68	2
22	97	80	73	1
23	109	74	70	2
24	99	79	72	2
25	113	92	54	2
26	119	69	68	4
27	106	80	65	3
28	120	79	58	1
29	107	73	70	2
30	94	88	66	2
31	103	91	58	1
32	97	93	60	2
33	102	76	69	1
34	98	92	59	1
35	116	71	64	2
36	93	91	62	3
37	92	86	66	2
38	90	78	74	1
39	99	86	61	2
40	114	100	45	3
41	109	92	51	1
42	81	80	78	1
43	120	69	61	2
44	117	87	49	2
45	95	76	69	1
46	95	78	67	1
47	100	93	53	2
48	84	79	74	2
49	93	89	59	3
50	95	84	61	3
51	89	78	70	2
52	97	86	58	2
53	117	70	59	2
54	99	87	56	4
55	85	79	71	3
56	96	90	55	3
57	109	68	64	1
58	115	77	53	2
59	94	78	64	1
60	102	74	62	1
61	88	75	70	1
62	87	80	66	2
63	104	70	63	3
64	92	74	67	2
65	110	74	56	2
66	99	99	46	1
67	91	76	65	3
68	115	78	50	3
69	113	76	52	4
70	89	82	61	2
71	111	70	57	1
72	99	77	58	2
73	84	78	67	6
74	92	69	69	1
75	94	89	52	1
76	97	77	58	2
77	98	72	61	1
78	113	95	40	2
79	120	65	55	1
80	120	99	36	2
81	102	65	64	2
82	111	98	39	2
83	116	69	53	1
84	108	89	44	2
85	97	80	54	1
86	104	66	61	3
87	94	68	65	2
88	85	74	66	2
89	87	78	61	1
90	119	62	56	2
91	78	73	72	1
92	79	73	71	2
93	112	73	50	2
94	80	79	64	2
95	78	73	71	1
96	112	92	39	1
97	92	87	50	2
98	92	82	53	2
99	119	67	50	1
100	113	88	40	1
