Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	1
Problem-ID	62
no_item_types	20
no_items	1255
CONTAINER_DATA (l,w,h)	587	233	220
ITEMS_DATA:
Type	x	y	z	no_items
1	85	84	72	60
2	103	76	64	68
3	95	70	62	56
4	84	69	66	66
5	75	75	63	61
6	89	77	46	63
7	97	69	41	63
8	73	64	55	60
9	86	76	38	56
10	98	52	44	51
11	98	88	26	79
12	71	48	47	68
13	111	49	26	69
14	90	43	33	68
15	60	51	41	64
16	74	42	40	50
17	61	48	39	54
18	73	37	23	50
19	48	36	31	75
20	49	25	21	74
