Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	6
Problem-ID	39
no_item_types	100
no_items	1829
CONTAINER_DATA (l,w,h)	459	105	93
ITEMS_DATA:
Type	x	y	z	no_items
1	109	92	78	19
2	110	90	66	18
3	105	81	74	19
4	97	82	78	12
5	120	74	67	18
6	111	73	71	16
7	118	82	57	16
8	109	80	62	18
9	109	73	65	24
10	98	73	64	24
11	87	81	63	17
12	80	78	71	19
13	95	79	57	17
14	94	70	64	17
15	110	75	50	13
16	95	92	46	23
17	113	79	45	12
18	104	91	41	22
19	97	70	57	17
20	103	62	59	13
21	114	77	42	18
22	110	60	55	17
23	80	72	62	14
24	97	92	40	25
25	108	62	53	18
26	102	67	47	21
27	83	64	58	26
28	74	66	61	22
29	119	87	28	14
30	100	72	40	19
31	108	98	27	15
32	80	75	47	11
33	92	80	38	23
34	84	69	48	16
35	76	73	50	23
36	83	71	46	20
37	95	66	43	13
38	84	57	56	16
39	108	67	37	18
40	114	52	45	20
41	84	67	47	11
42	76	63	54	23
43	113	78	28	14
44	85	59	49	14
45	100	60	40	20
46	71	65	52	20
47	72	69	48	24
48	88	76	33	20
49	70	60	49	15
50	91	56	40	22
51	89	67	34	21
52	103	60	32	22
53	77	54	46	15
54	84	58	38	17
55	90	81	24	17
56	96	60	30	27
57	70	69	35	25
58	84	52	38	23
59	65	51	50	11
60	90	80	23	19
61	116	56	25	24
62	77	56	37	17
63	63	53	47	13
64	91	52	33	15
65	65	60	40	19
66	109	43	33	25
67	71	57	38	17
68	57	54	48	12
69	90	49	33	23
70	75	52	37	11
71	74	62	30	17
72	120	35	32	19
73	93	67	20	22
74	61	56	36	22
75	72	55	31	16
76	76	57	28	17
77	75	70	23	20
78	76	72	22	14
79	89	54	25	15
80	89	46	28	14
81	119	34	28	19
82	58	54	35	20
83	102	38	27	18
84	72	50	29	13
85	81	41	31	21
86	78	45	27	13
87	61	42	34	16
88	69	43	28	23
89	87	33	28	13
90	44	44	40	18
91	71	53	20	15
92	64	33	32	23
93	43	42	36	13
94	58	43	26	24
95	72	31	29	23
96	43	39	32	25
97	71	35	21	28
98	55	37	22	10
99	40	35	31	15
100	36	35	24	24
