Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	12
Problem-ID	1
no_item_types	30
no_items	2163
CONTAINER_DATA (l,w,h)	404	50	1
ITEMS_DATA:
Type	x	y	z	no_items
1	59	39	1	78
2	51	38	1	53
3	48	40	1	78
4	45	35	1	75
5	56	23	1	64
6	47	27	1	70
7	44	27	1	70
8	55	21	1	64
9	38	30	1	61
10	40	27	1	84
11	37	29	1	60
12	35	27	1	92
13	42	22	1	65
14	43	21	1	83
15	47	19	1	77
16	54	15	1	84
17	60	13	1	78
18	29	26	1	79
19	39	19	1	64
20	46	16	1	73
21	43	16	1	64
22	37	17	1	69
23	30	20	1	77
24	42	14	1	76
25	33	15	1	71
26	28	14	1	78
27	22	17	1	54
28	26	14	1	76
29	18	15	1	76
30	24	10	1	70
