Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	9
Problem-ID	83
no_item_types	39
no_items	1540
CONTAINER_DATA (l,w,h)	432	79	1
ITEMS_DATA:
Type	x	y	z	no_items
1	52	42	1	32
2	59	33	1	36
3	53	30	1	29
4	56	28	1	38
5	45	34	1	34
6	51	29	1	33
7	48	28	1	41
8	50	26	1	40
9	36	33	1	42
10	59	20	1	35
11	48	24	1	40
12	34	32	1	40
13	35	30	1	38
14	36	29	1	37
15	51	19	1	36
16	49	18	1	39
17	43	20	1	40
18	50	17	1	41
19	55	15	1	37
20	35	23	1	37
21	42	19	1	45
22	29	25	1	46
23	32	22	1	34
24	35	20	1	39
25	41	17	1	45
26	40	17	1	47
27	45	15	1	49
28	50	13	1	37
29	33	18	1	44
30	28	20	1	26
31	25	21	1	45
32	40	13	1	34
33	25	20	1	42
34	34	14	1	37
35	27	17	1	45
36	23	18	1	53
37	24	15	1	41
38	21	15	1	45
39	30	10	1	41
