Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	10
Problem-ID	66
no_item_types	184
no_items	1457
CONTAINER_DATA (l,w,h)	432	79	1
ITEMS_DATA:
Type	x	y	z	no_items
1	54	50	1	3
2	57	47	1	4
3	59	40	1	11
4	57	40	1	3
5	54	42	1	9
6	56	39	1	5
7	47	45	1	11
8	52	40	1	9
9	50	39	1	5
10	58	33	1	9
11	45	42	1	7
12	47	40	1	3
13	60	31	1	4
14	45	40	1	9
15	46	39	1	7
16	42	42	1	6
17	49	35	1	7
18	57	30	1	7
19	53	32	1	4
20	49	34	1	4
21	50	33	1	5
22	41	39	1	7
23	50	31	1	4
24	43	36	1	11
25	40	38	1	6
26	46	33	1	12
27	54	28	1	11
28	43	35	1	6
29	47	32	1	11
30	53	28	1	6
31	39	38	1	13
32	40	37	1	7
33	52	28	1	6
34	42	34	1	8
35	39	36	1	7
36	50	28	1	5
37	45	31	1	9
38	53	26	1	8
39	43	32	1	7
40	54	25	1	7
41	37	36	1	4
42	39	34	1	8
43	40	33	1	11
44	55	24	1	7
45	41	32	1	6
46	54	24	1	11
47	37	35	1	5
48	40	32	1	6
49	41	31	1	8
50	38	33	1	6
51	39	32	1	12
52	46	27	1	12
53	38	32	1	11
54	45	27	1	3
55	48	25	1	14
56	41	29	1	12
57	44	27	1	7
58	37	31	1	7
59	39	29	1	9
60	40	28	1	1
61	37	30	1	11
62	41	27	1	9
63	39	28	1	4
64	40	27	1	7
65	36	30	1	8
66	59	18	1	5
67	46	23	1	7
68	33	32	1	10
69	39	27	1	5
70	35	30	1	7
71	40	26	1	5
72	37	28	1	10
73	47	22	1	3
74	49	21	1	9
75	40	25	1	9
76	50	20	1	12
77	33	30	1	7
78	43	23	1	7
79	38	26	1	8
80	54	18	1	10
81	36	27	1	8
82	54	18	1	7
83	36	26	1	9
84	33	28	1	11
85	36	25	1	3
86	31	29	1	9
87	34	26	1	5
88	31	28	1	12
89	36	24	1	8
90	32	27	1	10
91	36	24	1	9
92	47	18	1	9
93	29	29	1	12
94	40	21	1	4
95	42	20	1	10
96	31	27	1	9
97	38	22	1	11
98	32	26	1	8
99	34	24	1	10
100	50	16	1	8
101	32	25	1	9
102	33	24	1	8
103	28	28	1	11
104	37	21	1	7
105	31	25	1	13
106	35	22	1	7
107	45	17	1	10
108	33	23	1	10
109	54	14	1	8
110	48	15	1	12
111	34	21	1	6
112	51	14	1	11
113	42	17	1	14
114	37	19	1	13
115	39	18	1	6
116	43	16	1	7
117	57	12	1	6
118	26	26	1	8
119	28	24	1	4
120	47	14	1	7
121	31	21	1	12
122	26	25	1	11
123	36	18	1	3
124	27	24	1	3
125	43	15	1	9
126	49	13	1	16
127	33	19	1	8
128	39	16	1	5
129	28	22	1	8
130	25	24	1	2
131	46	13	1	9
132	26	23	1	6
133	32	18	1	6
134	25	23	1	10
135	44	13	1	5
136	30	19	1	8
137	46	12	1	7
138	34	16	1	11
139	30	18	1	10
140	36	15	1	2
141	35	15	1	5
142	26	20	1	4
143	43	12	1	8
144	32	16	1	6
145	23	22	1	9
146	29	17	1	10
147	41	12	1	6
148	35	14	1	7
149	22	22	1	9
150	23	21	1	9
151	30	16	1	10
152	32	15	1	6
153	40	12	1	9
154	26	18	1	8
155	31	15	1	9
156	42	11	1	8
157	22	21	1	3
158	27	17	1	8
159	40	11	1	10
160	29	15	1	9
161	31	14	1	11
162	24	18	1	11
163	27	16	1	12
164	35	12	1	10
165	21	20	1	7
166	32	13	1	8
167	27	15	1	6
168	36	11	1	7
169	29	13	1	9
170	20	18	1	10
171	23	15	1	7
172	20	17	1	8
173	21	15	1	4
174	28	11	1	11
175	23	13	1	7
176	24	12	1	10
177	18	14	1	10
178	16	15	1	7
179	15	15	1	14
180	16	14	1	10
181	22	10	1	7
182	18	12	1	7
183	15	14	1	6
184	15	10	1	9
