Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	2
Problem-ID	114
no_item_types	696
no_items	1288
CONTAINER_DATA (l,w,h)	587	233	220
ITEMS_DATA:
Type	x	y	z	no_items
1	111	99	78	1
2	119	96	71	1
3	110	100	72	1
4	100	97	80	2
5	114	97	69	3
6	113	94	70	1
7	110	86	78	2
8	99	91	79	1
9	108	92	71	2
10	106	87	76	1
11	98	92	75	1
12	110	84	73	3
13	100	95	70	2
14	98	90	74	2
15	112	96	58	2
16	119	76	68	2
17	114	77	69	3
18	118	74	69	2
19	98	97	63	2
20	118	74	68	3
21	98	86	68	3
22	100	83	69	3
23	91	79	78	4
24	116	70	69	1
25	94	78	76	4
26	111	94	53	3
27	115	78	61	1
28	118	71	64	2
29	89	78	77	2
30	107	71	70	1
31	95	76	73	1
32	108	94	51	4
33	114	72	63	2
34	95	75	72	1
35	90	80	71	1
36	86	77	77	1
37	94	82	66	2
38	116	79	55	2
39	102	78	63	1
40	119	80	52	1
41	114	71	61	3
42	95	74	70	5
43	109	79	57	3
44	120	77	53	1
45	104	94	50	1
46	91	88	61	2
47	95	95	54	3
48	97	89	56	1
49	95	92	55	1
50	105	97	47	1
51	96	79	63	1
52	93	80	64	2
53	120	99	40	3
54	102	70	66	1
55	118	83	48	1
56	91	86	60	1
57	105	97	46	1
58	108	71	61	2
59	109	66	65	2
60	105	73	60	2
61	118	67	58	4
62	85	78	69	2
63	80	77	74	2
64	115	67	59	4
65	110	70	59	2
66	100	74	61	4
67	96	82	57	1
68	106	76	55	1
69	113	89	44	3
70	100	68	65	1
71	103	78	55	3
72	103	79	54	2
73	88	73	68	2
74	78	75	74	1
75	112	99	39	2
76	87	72	69	1
77	115	68	55	3
78	97	75	59	2
79	95	75	60	4
80	94	77	59	4
81	80	79	67	2
82	103	76	54	2
83	109	78	49	4
84	104	80	50	1
85	93	73	61	1
86	81	75	68	2
87	94	71	61	2
88	85	77	62	1
89	88	85	54	3
90	76	73	72	1
91	94	67	63	2
92	81	79	62	2
93	93	82	52	1
94	85	77	60	2
95	84	68	68	2
96	104	63	59	1
97	94	79	52	1
98	97	65	61	2
99	112	88	39	1
100	88	68	64	2
101	76	74	68	1
102	80	73	65	2
103	110	59	58	1
104	94	77	52	2
105	89	67	63	1
106	96	91	43	1
107	104	80	45	3
108	94	63	63	1
109	93	89	45	3
110	90	68	60	1
111	103	81	44	1
112	95	69	56	2
113	97	64	59	1
114	80	69	66	1
115	75	72	67	1
116	109	72	46	2
117	90	77	52	2
118	78	70	66	1
119	114	79	40	2
120	111	69	47	3
121	82	77	57	1
122	82	75	58	2
123	90	84	47	1
124	88	65	62	2
125	120	72	41	3
126	119	76	39	1
127	116	80	38	1
128	110	71	45	1
129	119	64	46	2
130	76	74	62	2
131	86	75	54	2
132	88	67	59	1
133	74	71	66	2
134	93	84	44	1
135	115	78	38	1
136	78	69	63	1
137	106	68	47	2
138	119	58	49	1
139	93	66	55	1
140	78	72	60	1
141	93	86	42	2
142	81	69	60	2
143	83	79	51	1
144	87	66	58	1
145	89	76	49	2
146	102	77	42	1
147	76	72	60	3
148	113	66	44	1
149	101	58	56	2
150	94	87	40	1
151	110	74	40	2
152	95	59	58	1
153	76	71	60	1
154	87	65	57	1
155	80	67	60	1
156	80	77	52	2
157	99	77	42	1
158	102	87	36	1
159	99	62	52	2
160	86	70	53	3
161	78	77	53	1
162	112	66	43	3
163	95	76	44	3
164	85	73	51	1
165	104	74	41	2
166	94	86	39	1
167	98	73	44	2
168	91	75	46	4
169	82	67	57	2
170	109	71	40	1
171	99	89	35	1
172	74	74	56	2
173	75	67	61	1
174	119	78	33	1
175	110	75	37	1
176	85	63	57	5
177	109	100	28	2
178	88	69	50	2
179	120	55	46	1
180	88	69	50	1
181	96	63	50	2
182	79	72	53	2
183	100	86	35	4
184	88	61	56	1
185	100	71	42	1
186	111	79	34	1
187	94	88	36	1
188	120	67	37	1
189	78	76	50	1
190	82	68	53	2
191	75	69	57	2
192	78	70	54	3
193	96	65	47	1
194	71	71	58	3
195	77	69	55	2
196	88	85	39	2
197	98	63	47	2
198	114	77	33	3
199	118	57	43	1
200	80	62	58	3
201	81	67	53	4
202	95	57	53	1
203	89	57	56	1
204	109	53	49	1
205	117	62	39	3
206	77	64	57	1
207	119	76	31	1
208	80	73	48	1
209	83	75	45	2
210	80	71	49	1
211	87	76	42	3
212	95	62	47	2
213	100	92	30	1
214	68	64	63	3
215	81	69	49	3
216	77	68	52	4
217	90	57	53	3
218	118	62	37	2
219	103	97	27	1
220	73	71	52	3
221	99	85	32	2
222	87	63	49	3
223	81	65	51	2
224	86	80	39	2
225	86	60	52	1
226	80	76	44	2
227	99	55	49	5
228	90	74	40	2
229	79	59	57	2
230	109	54	45	3
231	80	75	44	2
232	97	68	40	2
233	116	87	26	2
234	74	61	58	3
235	89	70	42	2
236	79	69	48	2
237	72	66	55	5
238	82	59	54	1
239	75	60	58	1
240	78	68	49	2
241	93	58	48	2
242	108	52	46	3
243	119	48	45	2
244	73	65	54	1
245	77	58	57	4
246	108	81	29	1
247	91	75	37	3
248	93	59	46	2
249	93	54	50	2
250	92	58	47	1
251	116	98	22	2
252	99	56	45	3
253	104	63	38	1
254	119	55	38	1
255	91	65	42	1
256	95	84	31	1
257	85	58	50	2
258	93	54	49	2
259	93	91	29	1
260	114	86	25	1
261	74	66	50	2
262	75	59	55	1
263	115	47	45	4
264	94	76	34	1
265	110	48	46	2
266	106	76	30	2
267	84	68	42	1
268	112	89	24	1
269	85	74	38	3
270	75	74	43	2
271	104	79	29	2
272	71	71	47	3
273	81	68	43	3
274	96	82	30	1
275	101	83	28	4
276	92	53	48	1
277	102	74	31	2
278	113	47	44	2
279	81	70	41	1
280	101	100	23	2
281	80	69	42	2
282	89	55	47	5
283	76	72	42	1
284	95	93	26	3
285	88	87	30	1
286	88	52	50	1
287	98	53	44	1
288	78	61	48	2
289	72	61	52	3
290	82	66	42	3
291	111	62	33	4
292	85	70	38	2
293	114	47	42	3
294	89	56	45	1
295	84	54	49	3
296	71	68	46	1
297	64	63	55	2
298	70	64	49	1
299	114	71	27	1
300	85	64	40	2
301	108	67	30	2
302	77	76	37	1
303	78	63	44	1
