Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	9
Problem-ID	103
no_item_types	57
no_items	1327
CONTAINER_DATA (l,w,h)	432	79	1
ITEMS_DATA:
Type	x	y	z	no_items
1	52	47	1	14
2	49	49	1	13
3	55	37	1	30
4	51	39	1	25
5	47	42	1	22
6	48	40	1	18
7	59	30	1	24
8	43	41	1	30
9	47	37	1	26
10	51	31	1	20
11	45	34	1	27
12	43	35	1	18
13	43	33	1	18
14	41	34	1	16
15	48	28	1	22
16	37	36	1	22
17	56	23	1	29
18	36	33	1	22
19	34	34	1	22
20	35	32	1	16
21	58	19	1	20
22	34	32	1	28
23	40	27	1	23
24	35	30	1	25
25	37	28	1	35
26	34	30	1	18
27	40	24	1	29
28	59	16	1	20
29	39	24	1	26
30	45	20	1	22
31	50	17	1	22
32	53	16	1	24
33	30	28	1	27
34	31	26	1	20
35	42	19	1	20
36	42	18	1	26
37	29	25	1	14
38	30	24	1	21
39	35	20	1	24
40	50	13	1	21
41	43	15	1	29
42	30	21	1	23
43	35	17	1	25
44	33	18	1	31
45	34	17	1	22
46	41	14	1	24
47	38	15	1	23
48	28	20	1	24
49	25	22	1	36
50	25	21	1	31
51	23	22	1	22
52	25	17	1	23
53	23	18	1	22
54	24	15	1	25
55	21	15	1	17
56	17	14	1	23
57	14	14	1	28
