Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	10
Problem-ID	64
no_item_types	178
no_items	1426
CONTAINER_DATA (l,w,h)	432	79	1
ITEMS_DATA:
Type	x	y	z	no_items
1	57	48	1	7
2	56	47	1	10
3	54	47	1	10
4	52	48	1	10
5	51	44	1	6
6	57	38	1	5
7	48	44	1	9
8	59	35	1	7
9	51	39	1	5
10	47	42	1	7
11	59	33	1	9
12	51	38	1	7
13	47	41	1	3
14	52	36	1	8
15	49	36	1	7
16	45	39	1	9
17	43	40	1	7
18	47	36	1	9
19	45	37	1	6
20	53	31	1	12
21	54	30	1	11
22	55	29	1	5
23	51	31	1	5
24	52	29	1	10
25	44	34	1	6
26	48	31	1	12
27	39	37	1	11
28	53	27	1	9
29	44	32	1	11
30	46	30	1	10
31	60	23	1	13
32	51	27	1	9
33	54	25	1	9
34	57	23	1	8
35	42	31	1	13
36	52	25	1	9
37	36	36	1	8
38	37	35	1	10
39	49	26	1	6
40	47	27	1	6
41	36	35	1	9
42	43	29	1	6
43	46	27	1	9
44	56	22	1	7
45	44	28	1	10
46	47	26	1	9
47	48	25	1	5
48	36	33	1	10
49	47	25	1	8
50	45	26	1	11
51	55	21	1	11
52	38	30	1	5
53	42	27	1	6
54	34	33	1	7
55	35	32	1	5
56	37	30	1	12
57	48	23	1	6
58	35	31	1	6
59	49	22	1	5
60	37	29	1	9
61	38	28	1	7
62	42	25	1	12
63	45	23	1	4
64	47	22	1	8
65	49	20	1	10
66	39	25	1	10
67	57	17	1	10
68	40	24	1	11
69	33	29	1	6
70	36	26	1	8
71	55	17	1	4
72	46	20	1	5
73	34	27	1	13
74	48	19	1	12
75	57	16	1	10
76	35	26	1	7
77	30	30	1	8
78	36	25	1	6
79	31	29	1	7
80	32	28	1	2
81	52	17	1	9
82	42	21	1	5
83	40	22	1	6
84	32	27	1	6
85	35	24	1	7
86	38	22	1	9
87	36	23	1	5
88	33	25	1	5
89	37	22	1	11
90	35	23	1	4
91	29	27	1	11
92	37	21	1	8
93	31	25	1	9
94	43	18	1	9
95	35	22	1	5
96	40	19	1	11
97	33	23	1	6
98	54	14	1	7
99	42	18	1	12
100	28	27	1	10
101	47	16	1	8
102	50	15	1	5
103	57	13	1	7
104	35	21	1	8
105	28	26	1	11
106	29	25	1	2
107	38	19	1	8
108	40	18	1	8
109	31	23	1	8
110	47	15	1	10
111	29	24	1	12
112	36	19	1	5
113	40	17	1	12
114	48	14	1	15
115	29	23	1	9
116	35	19	1	7
117	51	13	1	6
118	27	24	1	13
119	30	21	1	10
120	37	17	1	7
121	28	22	1	8
122	36	17	1	5
123	32	19	1	8
124	38	16	1	3
125	32	19	1	10
126	40	15	1	6
127	35	17	1	7
128	27	22	1	11
129	31	19	1	7
130	28	21	1	6
131	48	12	1	10
132	36	16	1	12
133	38	15	1	10
134	31	18	1	6
135	37	15	1	6
136	29	19	1	12
137	28	19	1	5
138	23	23	1	5
139	48	11	1	4
140	31	17	1	4
141	25	21	1	6
142	52	10	1	8
143	32	16	1	13
144	31	16	1	9
145	35	14	1	7
146	27	18	1	6
147	30	16	1	9
148	24	20	1	11
149	28	17	1	4
150	26	18	1	12
151	36	13	1	12
152	31	15	1	8
153	29	16	1	9
154	22	21	1	5
155	46	10	1	13
156	41	11	1	11
157	32	14	1	9
158	28	16	1	12
159	26	17	1	9
160	21	20	1	6
161	30	14	1	8
162	26	16	1	6
163	24	17	1	4
164	34	12	1	8
165	20	19	1	10
166	21	17	1	8
167	32	11	1	4
168	29	12	1	7
169	30	11	1	7
170	27	12	1	5
171	19	17	1	5
172	29	11	1	8
173	18	13	1	8
174	19	12	1	7
175	15	15	1	5
176	17	13	1	8
177	17	12	1	9
178	20	10	1	9
