Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	6
Problem-ID	76
no_item_types	300
no_items	1973
CONTAINER_DATA (l,w,h)	459	105	93
ITEMS_DATA:
Type	x	y	z	no_items
1	107	95	80	8
2	114	97	71	4
3	115	88	70	6
4	114	87	71	6
5	115	94	64	5
6	106	99	65	9
7	112	79	76	6
8	114	94	61	9
9	105	80	77	6
10	93	89	78	1
11	113	87	65	7
12	91	85	80	4
13	100	85	71	5
14	104	99	58	6
15	99	78	77	8
16	93	86	73	7
17	109	85	62	9
18	95	80	75	4
19	115	81	61	13
20	119	80	59	6
21	114	71	69	8
22	100	78	70	10
23	83	80	76	5
24	85	76	75	6
25	113	81	51	7
26	92	77	64	5
27	85	83	63	3
28	109	78	52	4
29	91	76	62	6
30	112	72	53	7
31	101	68	62	5
32	88	83	58	5
33	108	100	39	6
34	81	78	66	7
35	98	94	45	6
36	85	84	58	5
37	101	66	61	4
38	104	75	52	9
39	100	66	61	5
40	86	75	62	7
41	96	83	50	6
42	85	76	61	3
43	107	69	53	9
44	105	81	46	3
45	77	77	65	8
46	108	62	57	7
47	85	69	65	2
48	88	71	61	7
49	94	90	44	4
50	118	89	35	4
51	109	66	49	9
52	98	70	51	7
53	107	57	57	7
54	78	73	61	8
55	97	73	49	7
56	91	69	55	10
57	79	76	57	10
58	111	57	52	5
59	80	79	52	9
60	78	72	58	8
61	108	79	38	5
62	101	57	56	6
63	115	87	32	10
64	86	79	47	8
65	95	71	47	9
66	76	67	62	7
67	86	73	50	9
68	120	54	48	4
69	90	84	41	9
70	83	62	60	6
71	82	80	47	5
72	91	77	44	3
73	108	77	37	6
74	104	94	31	14
75	102	69	43	5
76	100	56	54	9
77	69	68	64	5
78	93	70	45	7
79	78	67	56	8
80	86	64	53	9
81	113	56	45	8
82	95	81	37	7
83	116	60	40	5
84	119	63	37	6
85	89	62	50	13
86	74	73	51	5
87	116	67	35	5
88	79	59	58	3
89	85	75	42	10
90	100	94	28	4
91	74	71	50	7
92	80	65	50	8
93	90	82	35	4
94	100	86	30	7
95	73	72	49	3
96	109	63	37	3
97	75	72	47	8
98	73	65	53	9
99	85	73	40	7
100	77	67	48	11
101	91	60	45	6
102	73	62	54	7
103	80	72	42	8
104	95	67	38	6
105	82	64	46	7
106	85	68	41	5
107	90	61	43	5
108	88	72	37	3
109	84	84	33	14
110	90	63	41	7
111	93	78	32	12
112	89	79	33	5
113	116	54	37	8
114	89	54	48	6
115	94	54	45	8
116	68	63	53	6
117	82	54	51	6
118	92	62	39	8
119	108	49	42	8
120	101	56	39	8
121	87	54	46	6
122	111	67	29	3
123	96	72	31	6
124	120	63	28	3
125	95	65	34	5
126	83	62	40	9
127	82	76	33	3
128	81	54	47	4
129	81	57	44	4
130	115	70	25	6
131	77	62	42	9
132	79	76	33	7
133	99	74	27	4
134	108	67	27	6
135	93	55	38	6
136	62	57	55	4
137	93	61	34	9
138	105	70	26	6
139	69	62	44	4
140	80	50	47	6
141	71	64	41	3
142	95	93	21	5
143	98	70	27	6
144	100	92	20	9
145	92	46	43	5
146	91	54	37	6
147	76	52	46	4
148	66	56	49	6
149	92	70	28	7
150	82	78	28	7
