Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	6
Problem-ID	16
no_item_types	50
no_items	2043
CONTAINER_DATA (l,w,h)	459	105	93
ITEMS_DATA:
Type	x	y	z	no_items
1	114	94	61	38
2	115	81	61	57
3	81	78	66	43
4	101	66	61	47
5	105	81	46	55
6	94	90	44	47
7	107	57	57	35
8	97	73	49	38
9	78	72	58	50
10	90	84	41	52
11	91	77	44	42
12	119	63	37	32
13	116	67	35	38
14	85	75	42	43
15	100	94	28	44
16	109	63	37	32
17	75	72	47	40
18	85	73	40	35
19	73	62	54	44
20	90	63	41	37
21	68	63	53	41
22	96	72	31	50
23	81	54	47	38
24	76	52	46	42
25	69	60	43	33
26	72	64	37	51
27	93	66	26	32
28	95	46	36	40
29	100	40	39	31
30	89	70	25	43
31	99	68	23	40
32	66	64	36	47
33	62	55	44	35
34	68	52	40	38
35	57	53	44	32
36	63	59	35	44
37	90	41	34	43
38	66	59	31	37
39	65	56	33	44
40	111	49	21	41
41	75	61	24	37
42	72	50	30	39
43	72	51	23	41
44	78	37	27	43
45	57	56	22	31
46	64	32	28	41
47	60	44	21	45
48	42	31	31	40
49	80	25	20	42
50	52	37	20	33
