Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	1
Problem-ID	66
no_item_types	20
no_items	1478
CONTAINER_DATA (l,w,h)	587	233	220
ITEMS_DATA:
Type	x	y	z	no_items
1	94	88	50	68
2	114	80	44	65
3	86	84	45	92
4	110	74	38	63
5	72	67	56	77
6	108	52	45	79
7	78	73	40	92
8	71	61	52	66
9	81	56	46	79
10	75	75	36	82
11	69	63	46	68
12	86	68	33	86
13	65	51	50	71
14	70	54	37	65
15	81	45	34	69
16	62	58	30	75
17	68	44	27	62
18	84	39	22	76
19	59	52	22	77
20	42	33	21	66
