Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	6
Problem-ID	1
no_item_types	30
no_items	1963
CONTAINER_DATA (l,w,h)	459	105	93
ITEMS_DATA:
Type	x	y	z	no_items
1	103	76	64	52
2	118	79	51	74
3	95	76	60	84
4	92	81	55	68
5	90	70	63	72
6	113	92	33	66
7	86	84	45	58
8	94	85	39	73
9	102	78	39	72
10	87	77	43	56
11	75	58	57	73
12	108	76	30	70
13	97	81	27	63
14	79	74	35	73
15	64	58	52	58
16	113	46	36	61
17	88	54	39	73
18	84	78	28	66
19	94	54	36	60
20	70	54	37	73
21	68	66	31	67
22	60	51	41	59
23	81	45	34	70
24	110	43	25	61
25	120	34	26	55
26	86	32	31	67
27	57	37	30	56
28	57	33	29	64
29	52	37	28	60
30	49	25	21	59
