Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	1
Problem-ID	65
no_item_types	20
no_items	1129
CONTAINER_DATA (l,w,h)	587	233	220
ITEMS_DATA:
Type	x	y	z	no_items
1	104	91	76	53
2	100	80	72	62
3	82	75	65	60
4	83	80	57	57
5	94	85	44	52
6	109	58	54	55
7	87	77	43	64
8	79	73	45	49
9	109	81	28	54
10	93	93	28	55
11	104	78	26	66
12	88	54	39	51
13	94	54	36	55
14	94	55	30	50
15	71	56	33	63
16	83	40	36	57
17	108	40	26	58
18	91	54	22	49
19	72	37	32	67
20	34	32	31	52
