Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	6
Problem-ID	132
no_item_types	895
no_items	1863
CONTAINER_DATA (l,w,h)	459	105	93
ITEMS_DATA:
Type	x	y	z	no_items
1	118	100	75	1
2	114	95	79	2
3	120	89	77	2
4	113	90	80	2
5	113	100	72	2
6	105	99	77	1
7	115	96	71	1
8	118	88	73	1
9	118	89	71	2
10	119	79	79	1
11	108	97	70	2
12	113	83	76	2
13	100	90	79	4
14	99	90	78	1
15	111	81	77	2
16	115	78	77	2
17	108	86	74	2
18	98	94	74	1
19	120	92	61	2
20	103	97	67	3
21	111	90	67	4
22	114	82	71	3
23	99	98	68	1
24	111	86	69	1
25	100	87	74	4
26	112	97	59	1
27	104	81	75	1
28	100	81	78	3
29	93	89	76	2
30	119	81	65	2
31	97	88	72	2
32	120	80	64	2
33	99	84	73	2
34	101	91	66	4
35	111	80	68	3
36	92	89	73	3
37	112	82	65	1
38	116	79	65	1
39	99	97	62	1
40	88	88	76	2
41	115	85	60	2
42	100	96	61	1
43	99	82	72	2
44	114	93	55	3
45	99	89	66	1
46	109	73	73	4
47	98	79	75	3
48	110	74	71	1
49	107	77	70	1
50	100	83	69	1
51	109	89	59	2
52	115	72	69	3
53	96	80	74	2
54	117	79	61	4
55	118	71	67	2
56	111	93	54	2
57	103	79	68	3
58	119	76	61	2
59	93	80	74	3
60	115	92	52	1
61	87	79	79	2
62	102	78	68	1
63	111	90	54	1
64	116	69	67	1
65	102	99	53	3
66	114	78	60	2
67	111	97	49	2
68	104	80	63	3
69	102	95	54	1
70	114	90	51	1
71	95	80	67	3
72	91	87	64	2
73	106	80	59	2
74	97	72	71	2
75	106	74	63	2
76	93	90	59	1
77	97	77	66	3
78	95	84	61	1
79	105	71	65	2
80	89	77	70	1
81	99	88	55	2
82	116	70	59	2
83	82	81	72	1
84	113	78	54	1
85	96	75	66	4
86	91	79	66	2
87	98	93	52	1
88	95	75	66	4
89	117	73	55	2
90	108	69	63	5
91	93	84	60	3
92	105	70	63	2
93	89	85	61	1
94	91	79	64	2
95	86	78	68	1
96	80	78	73	2
97	83	83	66	2
98	99	68	67	2
99	99	71	64	2
100	100	77	58	1
101	104	69	62	2
102	83	80	67	2
103	77	76	76	3
104	89	79	63	2
105	82	75	72	3
106	119	64	58	3
107	94	70	67	1
108	90	74	66	2
109	98	80	56	2
110	95	71	65	2
111	116	66	57	3
112	118	97	38	3
113	95	80	57	2
114	88	72	68	2
115	110	100	39	2
116	82	78	67	1
117	79	76	71	1
118	96	87	51	2
119	118	75	48	1
120	82	77	67	2
121	76	75	74	1
122	94	72	62	3
123	104	64	63	3
124	104	72	56	1
125	94	91	49	3
126	82	74	69	2
127	93	68	66	2
128	77	75	72	1
129	113	75	49	4
130	99	79	53	1
131	93	73	61	4
132	100	72	56	3
133	91	67	66	2
134	98	73	56	3
135	108	65	57	1
136	112	70	51	4
137	86	83	56	2
138	96	83	50	3
139	79	72	70	4
140	95	71	59	3
141	114	61	57	1
142	80	77	64	1
143	107	61	60	3
144	106	82	45	2
145	84	76	61	3
146	113	65	53	2
147	91	79	54	2
148	120	92	35	2
149	90	78	55	3
150	87	87	51	2
151	106	65	56	2
152	81	69	69	1
153	87	71	62	2
154	108	60	59	2
155	118	60	54	2
156	117	99	33	1
157	108	62	57	3
158	89	67	64	4
159	99	80	48	3
160	95	70	57	1
161	94	77	52	1
162	102	67	55	3
163	116	81	40	3
164	117	73	44	4
165	101	93	40	2
166	107	90	39	1
167	97	73	53	4
168	96	77	50	2
169	78	74	64	3
170	93	81	49	2
171	87	80	53	2
172	92	69	58	2
173	98	67	56	1
174	118	66	47	1
175	85	66	65	2
176	74	72	68	2
177	76	72	66	2
178	120	79	38	2
179	78	71	65	1
180	91	81	48	2
181	78	73	62	1
182	104	64	53	1
183	72	71	69	2
184	79	73	61	1
185	101	77	45	2
186	108	90	36	1
187	90	67	58	1
188	94	79	47	2
189	120	58	50	1
190	109	76	42	4
191	83	71	59	2
192	107	77	42	2
193	111	76	41	2
194	77	76	59	3
195	87	73	54	2
196	113	74	41	2
197	85	67	60	2
198	90	69	55	1
199	106	70	46	1
200	117	54	54	1
201	104	58	56	2
202	108	74	42	3
203	94	83	43	4
204	108	72	43	4
205	84	78	51	3
206	78	68	63	3
207	79	66	64	5
208	88	88	43	1
209	92	86	42	3
210	87	72	53	2
211	104	72	44	2
212	98	60	56	2
213	74	74	60	1
214	90	64	57	2
215	92	81	44	3
216	119	55	50	5
217	95	84	41	1
218	94	60	58	3
219	103	72	44	2
220	118	69	40	2
221	119	57	48	1
222	113	72	40	1
223	107	69	44	2
224	116	65	43	4
225	90	60	60	3
226	82	79	50	2
227	105	79	39	5
228	82	70	56	4
229	103	82	38	4
230	86	76	49	1
231	82	64	61	2
232	106	86	35	3
233	101	75	42	1
234	89	70	51	3
235	92	80	43	4
236	81	79	49	2
237	112	64	43	1
238	73	68	62	3
239	76	65	62	2
240	79	68	57	2
241	99	70	44	2
242	91	76	44	2
243	76	69	58	2
244	105	67	43	1
245	76	71	56	2
246	94	73	44	1
247	92	91	36	1
248	74	69	59	2
249	99	62	49	1
250	98	71	43	4
251	108	83	33	1
252	97	76	40	4
253	101	57	51	2
254	93	77	41	2
255	71	70	59	4
256	120	66	37	3
257	104	74	38	3
258	70	68	61	1
259	89	65	50	3
260	120	80	30	2
261	118	58	42	2
262	87	66	50	3
263	90	74	43	1
264	100	54	53	2
265	95	70	43	1
266	72	64	62	2
267	78	69	53	1
268	74	63	61	3
269	93	71	43	2
270	103	67	41	1
271	83	63	54	2
272	83	79	43	2
273	107	85	31	1
274	86	63	52	1
275	70	67	60	1
276	98	87	33	2
277	87	61	53	1
278	120	60	39	2
279	108	70	37	1
280	81	69	50	2
281	80	61	57	1
282	95	65	45	1
283	99	62	45	3
284	81	62	55	1
285	73	70	54	1
286	116	99	24	3
287	74	73	51	2
288	89	58	53	1
289	116	84	28	2
290	102	89	30	2
291	113	89	27	3
292	69	69	57	3
293	80	65	52	1
294	90	77	39	2
295	117	49	47	1
296	101	86	31	1
297	98	67	41	1
298	80	70	48	3
299	71	63	60	1
300	84	59	54	2
301	85	64	49	3
302	87	71	43	3
303	75	62	57	1
304	97	65	42	1
305	104	94	27	2
306	78	69	49	5
307	102	55	47	1
308	111	95	25	3
309	71	70	53	1
310	91	59	49	2
311	80	62	53	2
312	85	63	49	1
313	65	65	62	2
314	88	85	35	5
315	117	72	31	2
316	114	52	44	2
317	83	57	55	3
318	95	72	38	1
319	70	64	58	2
320	78	64	52	2
321	107	55	44	2
322	82	77	41	2
323	83	74	42	2
324	106	81	30	4
325	86	68	44	1
326	113	69	33	3
327	94	57	48	2
328	72	70	51	2
329	77	71	47	1
330	68	64	59	3
331	76	66	51	2
332	102	66	38	3
333	98	59	44	1
334	74	66	52	3
335	83	71	43	2
336	78	69	47	1
337	89	66	43	4
338	99	51	50	4
339	91	77	36	3
340	100	51	49	2
341	90	75	37	1
342	90	73	38	2
343	80	74	42	2
344	72	69	50	5
345	86	78	37	2
346	95	52	50	3
347	94	71	37	4
348	90	70	39	2
349	99	62	40	1
350	93	66	40	4
351	71	64	54	2
352	96	91	28	1
353	80	71	43	1
354	88	63	44	1
355	83	65	45	2
356	75	66	49	3
357	101	57	42	4
358	88	74	37	2
359	100	73	33	1
360	96	57	44	2
361	72	71	47	1
362	84	65	44	2
363	101	54	44	2
364	93	78	33	2
365	92	76	34	1
366	82	69	42	3
367	88	54	50	4
368	97	94	26	2
369	89	68	39	2
370	91	68	38	2
371	119	58	34	3
372	83	64	44	2
373	75	66	47	2
374	98	91	26	3
375	91	67	38	1
376	108	65	33	3
377	116	83	24	1
378	80	72	40	3
379	116	55	36	2
380	102	64	35	2
381	81	74	38	1
382	69	66	50	1
383	74	64	48	4
384	108	75	28	5
385	119	76	25	5
386	91	80	31	1
387	119	59	32	2
388	99	63	36	5
389	112	87	23	1
390	83	75	36	2
391	79	59	48	3
392	95	67	35	1
393	77	59	49	2
394	104	59	36	3
395	92	51	47	2
396	73	58	52	2
397	92	77	31	3
398	100	61	36	3
399	109	53	38	3
400	68	62	52	5
401	77	58	49	2
402	88	69	36	3
403	81	69	39	3
404	112	54	36	2
405	106	51	40	3
406	92	51	46	1
407	68	66	48	4
408	100	58	37	1
409	91	60	39	2
410	99	65	33	1
411	98	57	38	3
