Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	6
Problem-ID	63
no_item_types	200
no_items	1911
CONTAINER_DATA (l,w,h)	459	105	93
ITEMS_DATA:
Type	x	y	z	no_items
1	118	93	80	9
2	100	99	80	5
3	118	94	68	14
4	109	93	72	11
5	106	93	70	9
6	100	97	64	10
7	96	88	70	4
8	120	88	55	11
9	101	75	75	11
10	99	78	72	11
11	115	72	64	5
12	113	78	60	9
13	97	75	72	10
14	95	87	63	10
15	106	96	51	10
16	99	75	63	8
17	98	90	53	8
18	95	78	62	13
19	92	78	64	11
20	102	69	65	9
21	103	68	65	9
22	93	73	65	9
23	109	68	59	6
24	99	72	61	10
25	119	76	48	12
26	97	96	46	7
27	100	93	45	9
28	89	86	54	8
29	99	91	45	9
30	120	71	47	12
31	82	76	64	13
32	98	65	62	13
33	105	72	52	13
34	92	78	53	9
35	93	73	55	14
36	118	66	47	7
37	91	83	48	10
38	102	67	53	10
39	113	63	50	9
40	80	71	62	7
41	88	75	53	7
42	89	78	50	12
43	101	76	45	11
44	97	76	46	6
45	102	88	37	17
46	116	89	32	6
47	81	75	53	5
48	107	60	49	10
49	79	71	55	9
50	91	69	49	7
51	109	87	32	11
52	117	54	48	11
53	91	58	57	8
54	72	66	58	10
55	104	66	40	7
56	89	58	53	13
57	77	67	53	14
58	78	73	48	8
59	76	70	51	15
60	113	80	29	8
61	109	57	41	20
62	67	63	60	11
63	75	58	58	13
64	86	71	41	7
65	91	67	40	9
66	78	71	44	7
67	98	65	38	7
68	94	66	39	11
69	84	70	41	8
70	113	92	23	11
71	64	63	59	7
72	79	71	42	11
73	96	72	34	7
74	102	88	26	6
75	83	80	35	11
76	81	57	50	8
77	115	59	34	7
78	90	61	42	9
79	111	71	29	10
80	67	59	57	8
81	88	62	41	12
82	98	63	36	13
83	100	81	27	12
84	73	65	46	7
85	77	72	38	6
86	79	60	44	10
87	84	75	33	11
88	98	48	44	9
89	93	65	34	10
90	99	47	44	12
91	95	67	32	9
92	98	69	30	14
93	99	88	23	10
94	91	51	43	16
95	71	68	41	11
96	91	87	25	10
97	86	59	39	5
98	70	67	42	14
99	100	70	28	13
100	118	53	31	8
101	119	45	36	9
102	86	56	40	15
103	62	59	52	7
104	63	61	49	11
105	98	53	36	11
106	86	60	36	8
107	74	67	37	10
108	73	61	41	8
109	93	85	23	9
110	113	49	32	10
111	64	60	46	7
112	77	60	38	7
113	90	69	28	8
114	106	49	33	9
115	106	52	31	8
116	70	61	40	10
117	85	80	25	6
118	76	55	40	9
119	68	62	39	4
120	66	59	42	9
121	60	59	46	7
122	97	64	26	9
123	67	51	47	6
124	91	84	21	14
125	89	47	38	8
126	58	57	48	15
127	66	60	40	15
128	84	81	23	12
129	103	69	22	6
130	112	48	28	12
131	78	71	27	14
132	75	60	33	7
133	92	47	34	5
134	99	55	27	11
135	74	47	42	9
136	105	69	20	10
137	75	54	35	7
138	56	55	46	5
139	83	63	27	7
140	54	52	50	11
141	56	51	49	8
142	99	56	25	9
143	105	47	28	7
144	73	61	31	8
145	71	65	29	8
146	67	64	31	15
147	90	38	38	13
148	81	42	38	12
149	78	61	27	9
150	78	54	30	11
151	92	47	29	15
152	63	63	31	10
153	77	43	37	10
154	102	35	34	9
155	75	51	31	3
156	63	50	36	5
157	79	56	25	9
158	64	53	32	9
159	56	47	41	14
160	56	48	40	13
161	78	38	36	10
162	95	43	25	8
163	54	47	40	17
164	60	41	40	8
165	87	53	21	11
166	50	46	42	9
167	52	50	37	11
168	78	47	26	14
169	77	49	25	12
170	66	43	32	13
171	67	44	30	9
172	85	40	26	10
173	72	51	24	7
174	57	47	32	4
175	83	37	27	11
176	73	48	23	10
177	71	34	32	11
178	68	39	29	8
179	69	37	30	6
180	55	41	32	12
181	72	31	31	8
182	72	33	28	7
183	74	39	23	6
184	56	44	26	6
185	51	42	28	8
186	59	42	24	14
187	67	40	22	10
188	54	43	25	14
189	60	36	26	7
190	49	32	30	10
191	41	40	28	7
192	66	33	20	9
193	45	38	25	8
194	38	35	31	9
195	39	35	30	6
196	44	31	29	14
197	36	36	29	9
198	35	34	31	9
199	40	37	22	3
200	38	31	26	5
