Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	2
Problem-ID	2
no_item_types	30
no_items	1128
CONTAINER_DATA (l,w,h)	587	233	220
ITEMS_DATA:
Type	x	y	z	no_items
1	92	89	73	38
2	104	80	63	34
3	106	80	59	38
4	97	77	66	41
5	99	71	64	51
6	95	80	57	38
7	90	78	55	39
8	81	69	69	41
9	88	88	43	30
10	97	76	40	37
11	74	63	61	34
12	75	66	47	42
13	112	87	23	40
14	100	61	36	32
15	67	63	47	39
16	116	41	40	43
17	104	55	30	38
18	100	44	37	36
19	65	57	42	38
20	109	53	24	30
21	72	49	35	37
22	71	43	39	32
23	71	60	25	22
24	68	48	31	33
25	82	46	21	35
26	60	45	26	43
27	43	40	39	41
28	78	30	22	46
29	63	37	21	44
30	52	36	25	36
